要保人ID,高資產機率
C007988,0.486591112
C012320,0.380506916
C002740,0.53345233
C004913,0.597512645
C001864,0.378590652
C006352,0.396929126
C004064,0.075927311
C010742,0.57978011
C012261,0.391973853
C011758,0.420833328
C009880,0.619025578
C004427,0.751202256
C001817,0.495763433
C008370,0.512616086
C009222,0.421607196
C009025,0.533454216
C005473,0.533228976
C011351,0.452494274
C008700,0.587343863
C003039,0.554702347
C009485,0.975793957
C011981,0.455824677
C008084,0.619341004
C005639,0.540834272
C000756,0.522373279
C009398,0.535531673
C001662,0.11525595
C005985,0.945465713
C000625,0.387850083
C004230,0.380103423
C006742,0.649605334
C006734,0.400214302
C003008,0.606222696
C007251,0.382015657
C011000,0.370667618
C007116,0.456622846
C000777,0.447838115
C010553,0.397710098
C012294,0.459369128
C002676,0.5598923
C002524,0.478738901
C007387,0.396824284
C002979,0.603883535
C008875,0.342819323
C006752,0.440120689
C004274,0.234675151
C012282,0.377738467
C009673,0.596061015
C007242,0.589454358
C002103,0.503417221
C005150,0.30602066
C011597,0.395345642
C008740,0.306358308
C004934,0.312483693
C008132,0.343783893
C012274,0.523316678
C000106,0.498785448
C009089,0.416687817
C008199,0.655093347
C003575,0.514148925
C004665,0.422797474
C010530,0.312010185
C008770,0.385538914
C007263,0.258664482
C002161,0.358999637
C005228,0.275874408
C000737,0.47129257
C001002,0.326953118
C008059,0.411685503
C010394,0.271316118
C003552,0.283172794
C000485,0.492192913
C001126,0.296408532
C001954,0.40608806
C011565,0.402891186
C007749,0.439306358
C007339,0.437013572
C004692,0.52632165
C009684,0.394421828
C004750,0.374843716
C009550,0.658700624
C008653,0.459255351
C008223,0.338970033
C010967,0.322359019
C004280,0.440405938
C004130,0.409982871
C010232,0.609709547
C002362,0.301431924
C007150,0.379868118
C006404,0.482835531
C000816,0.382011629
C009486,0.29943252
C008337,0.383896942
C003093,0.438805942
C006049,0.35355816
C002305,0.311329397
C007279,0.404063301
C007863,0.4632649
C008087,0.300407318
C000577,0.303010601
C008008,0.326915178
C001821,0.425882438
C008371,0.351706863
C008255,0.342759435
C007537,0.29594096
C005786,0.552195145
C004975,0.578177772
C006295,0.323881884
C007103,0.262017835
C004760,0.342955583
C007039,0.326938745
C004372,0.355970099
C008315,0.32535308
C005065,0.41831807
C003179,0.269509461
C006604,0.434657843
C010374,0.396002653
C009562,0.094870354
C010974,0.446061043
C008720,0.145882005
C000979,0.38018308
C008638,0.500916792
C009032,0.572406643
C005697,0.332690488
C000494,0.582298113
C001065,0.442505403
C005563,0.269503316
C003756,0.321254672
C008123,0.285905286
C003371,0.29984613
C002275,0.503213321
C011637,0.465981801
C004636,0.694643468
